day,arrivals,completions
2018-12-21,32.0,144.0
2018-12-22,26.0,9.0
2018-12-23,42.0,24.0
2018-12-24,49.0,108.0
2018-12-25,13.0,25.0
2018-12-26,50.0,29.0
2018-12-27,43.0,96.0
2018-12-28,32.0,22.0
2018-12-29,32.0,19.0
2018-12-30,3.0,98.0
2018-12-31,59.0,66.0
2019-01-01,0.0,1.0
