case_id,start,end,cycle_time_h
128,2018-01-03 14:00:00.000000,2018-01-07 08:00:00.000000,90.0
129,2018-01-03 14:00:00.000000,2018-01-07 08:00:00.000000,90.0
130,2018-01-03 15:00:00.000000,2018-01-07 08:00:00.000000,89.0
131,2018-01-03 15:00:00.000000,2018-01-07 08:00:00.000000,89.0
132,2018-01-03 16:00:00.000000,2018-01-07 08:00:00.000000,88.0
133,2018-01-03 16:00:00.000000,2018-01-07 08:00:00.000000,88.0
134,2018-01-03 16:00:00.000000,2018-01-07 08:00:00.000000,88.0
135,2018-01-03 16:00:00.000000,2018-01-07 08:00:00.000000,88.0
136,2018-01-03 19:23:03.987628,2018-01-07 08:00:00.000000,84.61555899222223
137,2018-01-03 21:26:42.679616,2018-01-04 13:00:00.000000,15.554811217777777
138,2018-01-03 21:46:15.214841,2018-01-03 23:37:38.092181,1.8563548166666666
139,2018-01-03 22:42:46.498467,2018-01-04 01:17:30.470905,2.578881232777778
140,2018-01-03 22:47:41.202539,2018-01-04 13:00:00.000000,14.205221516944444
141,2018-01-04 00:19:32.647105,2018-01-04 02:16:02.225128,1.9415494508333333
142,2018-01-04 01:35:25.666599,2018-01-07 08:00:00.000000,78.40953705583334
143,2018-01-04 09:00:00.000000,2018-01-10 18:00:00.000000,153.0
144,2018-01-04 09:00:00.000000,2018-01-13 08:00:00.000000,215.0
145,2018-01-04 09:00:00.000000,2018-01-10 18:00:00.000000,153.0
146,2018-01-04 10:00:00.000000,2018-01-10 18:00:00.000000,152.0
147,2018-01-04 10:00:00.000000,2018-01-13 08:00:00.000000,214.0
148,2018-01-04 10:00:00.000000,2018-01-13 08:00:00.000000,214.0
149,2018-01-04 10:00:00.000000,2018-01-13 08:00:00.000000,214.0
150,2018-01-04 10:00:00.000000,2018-01-10 18:00:00.000000,152.0
151,2018-01-04 10:00:00.000000,2018-01-13 08:00:00.000000,214.0
152,2018-01-04 10:00:00.000000,2018-01-13 08:00:00.000000,214.0
153,2018-01-04 11:00:00.000000,2018-01-10 18:00:00.000000,151.0
154,2018-01-04 11:00:00.000000,2018-01-13 08:00:00.000000,213.0
155,2018-01-04 11:00:00.000000,2018-01-13 08:00:00.000000,213.0
156,2018-01-04 11:00:00.000000,2018-01-13 08:00:00.000000,213.0
157,2018-01-04 11:00:00.000000,2018-01-13 08:00:00.000000,213.0
158,2018-01-04 12:00:00.000000,2018-01-13 08:00:00.000000,212.0
159,2018-01-04 12:54:53.683149,2018-01-04 14:49:52.342986,1.9162943991666668
160,2018-01-04 13:00:00.000000,2018-01-07 08:00:00.000000,67.0
161,2018-01-04 13:00:00.000000,2018-01-07 08:00:00.000000,67.0
162,2018-01-04 13:00:00.000000,2018-01-07 08:00:00.000000,67.0
163,2018-01-04 13:00:00.000000,2018-01-07 13:00:00.000000,72.0
164,2018-01-04 14:00:00.000000,2018-01-07 08:00:00.000000,66.0
165,2018-01-04 14:00:00.000000,2018-01-07 08:00:00.000000,66.0
166,2018-01-04 14:00:00.000000,2018-01-07 08:00:00.000000,66.0
167,2018-01-04 14:00:00.000000,2018-01-07 18:00:00.000000,76.0
168,2018-01-04 14:00:00.000000,2018-01-10 08:00:00.000000,138.0
169,2018-01-04 14:00:00.000000,2018-01-10 08:00:00.000000,138.0
170,2018-01-04 15:00:00.000000,2018-01-07 08:00:00.000000,65.0
171,2018-01-04 15:00:00.000000,2018-01-07 08:00:00.000000,65.0
172,2018-01-04 15:00:00.000000,2018-01-10 08:00:00.000000,137.0
173,2018-01-04 15:00:00.000000,2018-01-10 08:00:00.000000,137.0
174,2018-01-04 16:00:00.000000,2018-01-07 13:00:00.000000,69.0
175,2018-01-04 16:00:00.000000,2018-01-10 08:00:00.000000,136.0
176,2018-01-04 16:10:00.535793,2018-01-04 19:00:56.481034,2.8488736780555555
177,2018-01-04 17:00:00.000000,2018-01-10 08:00:00.000000,135.0
178,2018-01-04 17:08:14.887218,2018-01-07 08:00:00.000000,62.86253132833334
179,2018-01-04 18:16:12.013196,2018-01-04 21:16:00.202173,2.996719160277778
180,2018-01-04 18:43:09.943595,2018-01-07 08:00:00.000000,61.28057122361111
181,2018-01-04 19:51:35.986317,2018-01-04 21:39:30.753605,1.7985464688888888
182,2018-01-04 19:59:20.262900,2018-01-07 08:00:00.000000,60.01103808333333
183,2018-01-04 20:11:14.387669,2018-01-07 08:00:00.000000,59.81267009194445
184,2018-01-04 20:28:12.257113,2018-01-07 08:00:00.000000,59.529928579722224
185,2018-01-04 22:12:35.082210,2018-01-07 08:00:00.000000,57.79025494166667
186,2018-01-04 22:32:26.207857,2018-01-05 01:10:46.942530,2.6390929647222223
187,2018-01-04 23:15:39.278339,2018-01-05 01:15:21.237958,1.9949887830555557
188,2018-01-04 23:19:24.453072,2018-01-05 01:04:30.082225,1.751563653611111
189,2018-01-04 23:19:51.954888,2018-01-05 01:18:51.053989,1.983083083611111
190,2018-01-04 23:26:28.737059,2018-01-05 01:30:50.683518,2.0727629052777776
191,2018-01-04 23:38:47.226060,2018-01-05 01:57:36.606835,2.3137168819444445
192,2018-01-04 23:52:10.214872,2018-01-07 08:00:00.000000,56.130495868888886
193,2018-01-04 23:56:28.771356,2018-01-07 08:00:00.000000,56.05867462333333
194,2018-01-05 00:00:07.999343,2018-01-07 08:00:00.000000,55.99777796027778
195,2018-01-05 00:22:44.668803,2018-01-05 03:23:10.994496,3.0073126925
196,2018-01-05 03:52:23.017911,2018-01-07 08:00:00.000000,52.126939469166665
197,2018-01-05 04:12:41.303137,2018-01-05 06:08:17.217190,1.9266427925
198,2018-01-05 09:00:00.000000,2018-01-13 08:00:00.000000,191.0
199,2018-01-05 09:00:00.000000,2018-01-13 08:00:00.000000,191.0
200,2018-01-05 09:00:00.000000,2018-01-13 08:00:00.000000,191.0
201,2018-01-05 09:00:00.000000,2018-01-13 08:00:00.000000,191.0
202,2018-01-05 09:00:00.000000,2018-01-13 08:00:00.000000,191.0
203,2018-01-05 09:00:00.000000,2018-01-11 15:00:13.370149,150.00371393027777
204,2018-01-05 09:00:00.000000,2018-01-13 08:00:00.000000,191.0
205,2018-01-05 09:00:00.000000,2018-01-13 08:00:00.000000,191.0
206,2018-01-05 09:00:00.000000,2018-01-13 08:00:00.000000,191.0
207,2018-01-05 09:00:00.000000,2018-01-13 08:00:00.000000,191.0
208,2018-01-05 09:00:00.000000,2018-01-11 15:17:43.202090,150.2953339138889
209,2018-01-05 09:00:00.000000,2018-01-11 17:25:22.289250,152.422858125
210,2018-01-05 09:00:00.000000,2018-01-13 08:00:00.000000,191.0
211,2018-01-05 09:00:00.000000,2018-01-13 08:00:00.000000,191.0
212,2018-01-05 09:00:00.000000,2018-01-13 08:00:00.000000,191.0
213,2018-01-05 10:00:00.000000,2018-01-13 08:00:00.000000,190.0
214,2018-01-05 10:00:00.000000,2018-01-10 08:00:00.000000,118.0
215,2018-01-05 10:00:00.000000,2018-01-10 08:00:00.000000,118.0
216,2018-01-05 11:00:00.000000,2018-01-10 08:00:00.000000,117.0
217,2018-01-05 12:00:00.000000,2018-01-10 08:00:00.000000,116.0
218,2018-01-05 12:00:00.000000,2018-01-10 08:00:00.000000,116.0
219,2018-01-05 12:00:00.000000,2018-01-10 08:00:00.000000,116.0
220,2018-01-05 12:00:00.000000,2018-01-10 08:00:00.000000,116.0
221,2018-01-05 12:00:00.000000,2018-01-10 08:00:00.000000,116.0
222,2018-01-05 12:00:00.000000,2018-01-10 08:00:00.000000,116.0
223,2018-01-05 12:53:25.943253,2018-01-05 15:46:56.792304,2.8919025141666665
224,2018-01-05 13:00:00.000000,2018-01-10 08:00:00.000000,115.0
225,2018-01-05 13:00:00.000000,2018-01-10 08:00:00.000000,115.0
226,2018-01-05 14:00:00.000000,2018-01-10 08:00:00.000000,114.0
227,2018-01-05 14:00:00.000000,2018-01-10 08:00:00.000000,114.0
228,2018-01-05 14:00:00.000000,2018-01-10 08:00:00.000000,114.0
229,2018-01-05 14:00:00.000000,2018-01-10 08:00:00.000000,114.0
230,2018-01-05 14:00:00.000000,2018-01-10 08:00:00.000000,114.0
231,2018-01-05 14:00:00.000000,2018-01-10 08:00:00.000000,114.0
232,2018-01-05 14:00:00.000000,2018-01-10 08:00:00.000000,114.0
233,2018-01-05 14:00:00.000000,2018-01-10 08:00:00.000000,114.0
234,2018-01-05 14:00:00.000000,2018-01-10 08:00:00.000000,114.0
235,2018-01-05 14:00:00.000000,2018-01-10 08:00:00.000000,114.0
236,2018-01-05 15:00:00.000000,2018-01-10 08:00:00.000000,113.0
237,2018-01-05 15:00:00.000000,2018-01-10 08:00:00.000000,113.0
238,2018-01-05 15:00:00.000000,2018-01-10 08:00:00.000000,113.0
239,2018-01-05 15:00:00.000000,2018-01-10 08:00:00.000000,113.0
240,2018-01-05 15:00:00.000000,2018-01-10 08:00:00.000000,113.0
241,2018-01-05 16:00:00.000000,2018-01-13 08:00:00.000000,184.0
242,2018-01-05 16:00:00.000000,2018-01-13 08:00:00.000000,184.0
243,2018-01-05 16:00:00.000000,2018-01-13 08:00:00.000000,184.0
244,2018-01-05 16:00:00.000000,2018-01-10 13:00:00.000000,117.0
245,2018-01-05 16:00:00.000000,2018-01-10 08:00:00.000000,112.0
246,2018-01-05 16:00:00.000000,2018-01-10 08:00:00.000000,112.0
247,2018-01-05 16:09:43.126120,2018-01-05 17:44:18.377905,1.5764588291666668
248,2018-01-05 16:57:24.766001,2018-01-07 08:00:00.000000,39.043120555277774
249,2018-01-05 22:34:48.689465,2018-01-06 00:45:23.728291,2.1763996738888887
250,2018-01-05 22:40:59.897552,2018-01-06 00:10:32.388461,1.4923585858333333
251,2018-01-05 22:42:17.327212,2018-01-07 08:00:00.000000,33.29518688555555
252,2018-01-05 22:51:50.467001,2018-01-07 08:00:00.000000,33.135981388611114
253,2018-01-05 23:11:07.923853,2018-01-10 08:00:00.000000,104.8144655963889
254,2018-01-05 23:23:14.899530,2018-01-06 01:09:31.656617,1.7713214130555555
255,2018-01-05 23:36:08.430146,2018-01-06 01:32:48.904244,1.9445761383333333
256,2018-01-05 23:48:39.580219,2018-01-07 08:00:00.000000,32.189005494722224
257,2018-01-05 23:58:18.544580,2018-01-06 02:27:32.581342,2.487232433888889
258,2018-01-06 00:14:32.360319,2018-01-07 08:00:00.000000,31.757677689166666
259,2018-01-06 00:24:25.001297,2018-01-06 02:07:09.630955,1.7123971272222223
260,2018-01-06 00:33:15.874794,2018-01-06 02:49:05.793308,2.2638662538888887
261,2018-01-06 01:03:27.840823,2018-01-07 08:00:00.000000,30.942266438055555
262,2018-01-06 01:48:24.241111,2018-01-07 18:00:00.000000,40.19326635805555
